Sub-category,Question,Answer,Topic,Category
"Supply Chain Management (SCM)","Requisition reapprove after modification in the negotiation?","The requisition should generally not require modification after sourcing into the Negotiation.
If new lines are added in the requisition - this cannot be sourced into the same Negotiation, and re-tendering of the procurement would be required.","Negotiations","Quantum"
"Identity and Access Management (IDAM)","What is URL of Quantum and what is my login ID and password?","Quantum URL is http://quantum.partneragencies.org/ Quantum supports Sigle Sign-On. Your Quantum user id and password are your UN Women email id and password Please follow the steps in this video to sign in.","For Quantum End-users","Quantum"
"Identity and Access Management (IDAM)","I have Atlas Project Manager access but have an issue to access Quantum. How can I get Quantum Project Manager access?","There will be no automatic migration of Atlas user profile to Quantum. Quantum access with business profile/function will need to be requested through Identity and Access Management (IDAM) system. The IDAM request will be submitted by IDAM focal point of your office and approved by IDAM approver at Regional Office or HQ. Please contact your IDAM focal point or Operations Manager directly who will guide you through the process and facilitate your Quantum access request. For ease of reference, the list of IDAM focal points and approvers is accessible here.","For Quantum End-users","Quantum"
"Identity and Access Management (IDAM)","I only need Quantum HR eServices access e.g. requesting leave, etc. How can I get the Quantum HR eServices access?","Quantum HR eServices access is automatically granted to personnel whose contract is managed in Quantum HCM, e.g. Staff, Service Contract, UNV, etc. If you just recently joined UN Women, please make sure that your personnel record has been entered into Quantum HCM by your HR focal point. Once this is done, your Quantum HR eServices should be automatically enabled.","For Quantum End-users","Quantum"
"Identity and Access Management (IDAM)","I have got General User profile in Quantum and need to change my profile to Project Manager. What is the process to change Quantum profile?","The change of Quantum profile requires to follow your office Internal Control Framework (ICF) change process. In addition, certain profiles/functions request the Delegation of Authority (DoA) memo issued by your Head of Office. Please discuss with your Operations Manager or IDAM focal point who can guide you through the necessary ICF/DoA process and facilitate the change of Quantum profile through IDAM system.","For Quantum End-users","Quantum"
"Identity and Access Management (IDAM)","For existing staff profile will we need to initiate requests from scratch or will be migrated automatically from ARGUS to IDAM as per the latest ICF of each office?","There will be no automatic migration of Atlas users from ARGUS to IDAM. All Quantum users must be requested from scratch through IDAM. A template tool has been introduced to facilitate the IDAM requests process by each office.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Does the improvements include automatically creating UNDP LDAP account when contracts are signed instead of requesting the LDAP creation for every new joiner?","Quantum users will sign in the system using UN Women email address through federation. There is no separate step to create UNDP LDAP account or validate against UNDP directory.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Does this IDAM process apply to contractors as well?","It applies to all personnel requires access to Quantum for performing various finance, procurement, HR features. Some business profiles and supplemental functions are restricted to non-staff as defined in ICF.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Staff those have access to ATLAS as per ICF, do they need to apply for access again in Quantum?","Yes.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","ATLAS projects are transferring to Quantum, but access will not be transferred like this- am I right?","Yes. There is no automatic conversion of users from Atlas to Quantum. All Quantum users must be requested from scratch through IDAM.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","How will ICF restrictions work in Quantum?","The ICF restriction is implemented in IDAM. Based on the user contract type, department selected, and other roles user have, the system will restrict the function can be assigned to the user. e.g. if you are given finance user, you will then not be given buyer.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Is ICF embedded in the system already?","Yes","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","What POI? Who creates POI?","POI (Person of Interest) is a general term refer to any user who needs to have access to the system without an HR record. It can be referred to users from the procurement model (SSA or LTA contractors). If the requested user does not have HR Profile, IDAM Focal Point must create POI request first. All UNW IDAM Focal Points have access to the POI creation form.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Will the SharePoint requests still be in place for IDAM?","The SharePoint based Atlas user request system will be replaced by a GST based Quantum user request system which is being developed and planned to be launched in Q1 2023.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","So we no longer need to prepare an ICF on offline to be approved by Head of Office or relevant persons?","The current ICF procedure remains unchanged. The Quantum based ICF policy and procedure are being established and will be communicated.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","What if the IDAM focal point migrates from staff to consultant, will the office need a new IDAM focal point?","In current ICF, Argus focal point is not limited to staff member. However, staff turnover and contract modalities remain risk drivers. Hence it is recommended that the focal point role should not be given to SSA/temporary consultants.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Who will be updating the ICF on the system? or this is an automated process by UNDP?","UN Women teams have been working on developing the new ICF and ensuring the new ICF logics are configured and implemented in IDAM/Quantum. The configuration of ICF is done by UNDP IDAM team based on our ICF requirements decided.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","How many days are required for granting Quantum access?","Once the request is approved, it takes about 5 mins for the system to process the access provisioning.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Does traveller profile get established separately?","Travel profile is related to the UNall travel app. Separated from IDAM. but travel arranger and travel processor need to be provisioned though IDAM.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","For POI, is this with the submitting unit or HR?","The current process is IDAM Focal Point creates POI request.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","IDAM takes the information from HR system. Is the HR system still the same? Or it will also be moved to Quantum?","HR module is also moved to Quantum and hence IDAM will be using profile details from Quantum's HR module.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Currently the Regional OM approves COs ATLAS access. In Quantum the HoO will approve such access-right?","The process and actors will remain same, only systems are changed.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Is there a manual with all the IDAM functions and supplementary functions?","Yes, IDAM guide is available. You can find all IDAM training materials here.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","In ATALS the staff must apply first for access and then ARGUS focal moves. In Quantum will the process remain same, or the staff will request access outside the Quantum?","For HR eServices access, there is no need for two steps anymore. Once the staff's HR record is active, user automatically have access to Quantum with basic access such as leave and PMD. IDAM can be used to assign additional access to Procurement, Finance, etc. To request the additional access, e.g. Finance User, Project Manager, the request will need to be initiated in the GST based Quantum user request system which will be introduced.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Is the one step registration process only for staff or for SSA/PSA/Service contracts as well?","PSA/Service Contract has HR record as well. So, there is no need for two steps. But SSA is from procurement module, so the IDAM focal point needs to use POI creation form before they can select the user dropdown to assign access to Finance/HR.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","What about leave monitor role under HR? Is an option for all staff members?","Yes, leave monitor is available.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","SSA is under HR in UNW, so who is managing the request and approval for SSAs?","The IDAM request for SSA user will be initiated in the GST based Quantum User Request System by the requesting office/division/section, cleared by IDAM focal point, approver and approved by Division Director or designated Division approver.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Can we also revise/ send back a request, if needed?","In the new UN Women GST Quantum user request system, as IDAM focal point, you will be able to return the request submitted by the user. In IDAM, the IDAM approver can reject the request after Quantum go- live. However, in December before Quantum go-live, a ticket needs to be raised to UNDP IDAM team to cancel the submitted request.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Do we still need a signed hard copy of the ICF or is this going to be systemized?","For the initial Quantum users provisioning in December 2022, it is important to document all users roles in the Excel sheet presented in the training and get it approved by Head of Office. New ICF policy is being established and more instructions will be shared once available.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Could you please advise if SharePoint requests will still be in place for IDAM?","The SharePoint based Atlas user request system will be phased out and replaced by the New GST based Quantum user request system which is being developed and will be introduced together with Quantum rollout in January.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Are multiple approvers allowed in IDAM?","Yes.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","A32: Who will be the IDAM approver?","Approver will be at RO.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Do requisitioners need to apply for IDAM access?","Requisition is a “birth” right. No need to provision the access.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","What is the procedure and how to assign alternate IDAM FP?","Multiple IDAM FPs are allowed in IDAM. The request of granting new IDAM FPs or changing IDAM FPs should be sent to UN Women GST Quantum support.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Can a request be placed multiple times?","Yes, when there is no pending request for the user, a new request can be submitted.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Under Argus - a person can have both Project Manager and Committing Officer rights. can you pls confirm that in Quantum Committing Officers will not be able to have Project Manager's rights?","The current IDAM ICF does not allow the combination of the business profiles including the Project manager and committing officer role to mitigate audit risk. However, the Quantum committing officer However, some Quantum Project Manager access, e.g. approve project, approve award budgets have been currently embedded in Quantum Senior Manager, Manager level 2, and Manager level 1 business profiles. The new Quantum ICF is still a work in progress and more communications/documentation will be circulated.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","Can you pls confirm that the ICF matrix for the office will also need to be adjusted to add additional profiles and functions in IDAM ?","The new ICF will incorporate all the new business profiles and supplemental functions in line with Quantum.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","For SSA, when they exit, IDAM is not auto deleted like staff right?","Quantum supports Sigle Sign-On. The user id is the email account. Once the SSA's email is disabled, the Quantum access is terminated. It is hence important to ensure that all SSAs’ contractual information is up to date in our personnel validation system.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","As per IDAM Business profile function for UNW - a Finance User cannot act as Asset Focal Point (non-cap). under the current ICF - in most cases this is the Finance User who is also the Asset Focal Point. will this be also included in the IDAM Role?","The Quantum based ICF and its setup in IDAM is still being configured and adjusted. Based on the latest discussion, the combination of Finance User business profile and Asset Focal Point function remains an option in IDAM.","For Quantum IDAM Focal Points","Quantum"
"Identity and Access Management (IDAM)","What is the difference between Committing Officer UNW Level 1, 2, 3, 4,5 and 6? Are these levels linked to DOA Policy and framework and indicates the Level of approval authority,e.g. 100K, 250K etc?","The DoA policy is also a work in progress. Committing officer level is based on the threshold and Procurement office at HQ has been providing guidance on the implementation of the 6 level SFs. Please consult with Quantum Procurement Support <procurement.quantum@unwomen.org>","For Quantum IDAM Focal Points","Quantum"
"Cross-cutting","How to submit a Quantum Support ticket?","If you have any questions or encounter any issues related Quantum, please raise Quantum Support ticket at https://servicetracker.unwomen.org/GSTICT/Create?requestTypeId=140. You can also refer to the video at https://web.microsoftstream.com/video/72eb58a6-ca3e-49b4-8299-205dc3f45c06 for more guidance on how to create a Quantum Support Ticket and refer to the Quantum Helpdesk page(https://unwomen.sharepoint.com/management/IST/SitePages/Quantum-Helpdesk.aspx) for resources related to helpdesk and ticket resolution workflow.","Quantum Support","Quantum"
